Song,id,danceability,energy,valence,ratings
you were good to me,4CxFN5zON70B3VOPBYbd6P,0.561,0.0848,0.206,0
Sleep,7C0naD1GsrGZTKGMbg7m7I,0.55,0.596,0.207,0
Throw Me a Bone,5fw57RymBIg7ys4M8tWJ5H,0.516,0.487,0.209,0
Living,4ytv5Yzyal3LzKyMjRXjse,0.46,0.59,0.212,0
Saving Daylight,0rDXZpaDpGMbT8ON1DxEtT,0.526,0.385,0.212,0
Breathe Me,7jqzZyJJLrpkRFYGpkqSK6,0.552,0.643,0.212,0
Losing You,5aFSzu0b7ccAYjTkbTNTsQ,0.383,0.446,0.213,0
Petrichor,22KKy6ftT0i4nyGNCbwc1B,0.319,0.122,0.214,0
Suhpratti,4A6C6K8c8IukPda2f0rI8J,0.564,0.0515,0.214,0
Little Things,29IRVQao62okE22TDamSnm,0.367,0.915,0.215,0
Open Fields,24CJS73HBvYtVguUZBnyAn,0.491,0.197,0.216,0
Rise (ft. Matluck) - Thomas Gold Remix,24fghf9YPlSHoWKNHign8p,0.501,0.784,0.216,0
Wolkendans,3BuuxHhwQ4AQvDA9dzvSry,0.38,0.0355,0.22,0
Lay Your Head On Me (feat. Marcus Mumford),0oB9964bp22Bmok0Dmxlzb,0.658,0.765,0.222,0
Bad Timing,2KSCegx6TosQQEgmhJKNQa,0.471,0.289,0.225,0
Linger,7zWQ9qz0vAK75QBTGLZ0Wb,0.54,0.574,0.225,0
The Temporary,5g5dwJD6zwXG81LRdEsnQr,0.549,0.524,0.229,0
All Mirrors,4ZQdynvfiayhdoq5lcuCQ1,0.429,0.689,0.23,0
North Captiva,32dZxkZtsF5Vt3PrJQuV2i,0.479,0.346,0.23,0
Rescue Me,7DP18u679fMurjsUxuxMHu,0.494,0.739,0.235,0
Wonderful Together (feat. Envy Monroe),3UaStdVN7y9A6ktTmkFDTk,0.591,0.759,0.235,0
Riverside,1UmFRZU3taMGZApPhK32mc,0.648,0.177,0.236,0
Courage,0gj8zftpww3PXx8xea7Ygn,0.635,0.0302,0.237,0
Atlavík,6WdO6Ds95sLALCqCOfbDQh,0.535,0.147,0.238,0
EDM Sux,6AlzF33SOFB8vfrmABo0jV,0.653,0.907,0.238,0
Crash,1FXlhqcYaiw6KuUYtXdtAi,0.689,0.456,0.238,0
Venom,4EvAP7MWnjDMkADXXEuF5t,0.357,0.851,0.241,0
Quiet Room,5uTfZTuLLGbq1qFYwzg7jX,0.374,0.068,0.241,0
Litost,0bMcjygjhkTVB8T4r3xCde,0.383,0.101,0.242,0
Watching Clouds Disappear,18HZyQSQdmtxv5i9YSHJTw,0.495,0.0191,0.243,0
